Dumped model
['perspective_score', 'stanford_polite']
Looping through test_issues
Idris-dev/idris-lang/2861 0
yesod/yesodweb/1044 0
Idris-dev/idris-lang/2042 0
Idris-dev/idris-lang/1187 0
Idris-dev/idris-lang/2859 0
stack/commercialhaskell/4356 0
Idris-dev/idris-lang/3907 0
Idris-dev/idris-lang/2040 0
Idris-dev/idris-lang/2858 0
wire-server/wireapp/309 0
Idris-dev/idris-lang/1186 0
yesod/yesodweb/1043 0
stack/commercialhaskell/4357 0
Idris-dev/idris-lang/2857 0
wire-server/wireapp/308 0
yesod/yesodweb/1042 0
Idris-dev/idris-lang/1184 0
Idris-dev/idris-lang/2039 0
Idris-dev/idris-lang/3906 0
yesod/yesodweb/499 0
stack/commercialhaskell/4355 0
Idris-dev/idris-lang/2856 0
yesod/yesodweb/1041 0
Idris-dev/idris-lang/1183 0
wire-server/wireapp/306 0
Idris-dev/idris-lang/3905 0
Idris-dev/idris-lang/1185 0
ghcjs/ghcjs/463 0
Idris-dev/idris-lang/2049 0
ghcjs/ghcjs/464 0
wire-server/wireapp/336 0
Idris-dev/idris-lang/2906 0
yesod/yesodweb/1059 0
Idris-dev/idris-lang/2062 0
Idris-dev/idris-lang/1216 0
Idris-dev/idris-lang/1215 0
Idris-dev/idris-lang/2905 0
wire-server/wireapp/335 0
ghcjs/ghcjs/471 0
hakyll/jaspervdj/365 0
Idris-dev/idris-lang/1214 0
Idris-dev/idris-lang/2061 0
wire-server/wireapp/333 0
Idris-dev/idris-lang/1213 0
Idris-dev/idris-lang/3923 0
Idris-dev/idris-lang/2060 0
Idris-dev/idris-lang/2904 0
wire-server/wireapp/332 0
hakyll/jaspervdj/364 0
Idris-dev/idris-lang/2903 0
yesod/yesodweb/1058 0
ghcjs/ghcjs/470 0
Idris-dev/idris-lang/1212 0
hakyll/jaspervdj/363 0
Idris-dev/idris-lang/2059 0
hakyll/jaspervdj/366 0
yesod/yesodweb/1060 0
Idris-dev/idris-lang/3924 0
Idris-dev/idris-lang/1217 0
Idris-dev/idris-lang/2067 0
Idris-dev/idris-lang/1221 0
Idris-dev/idris-lang/3928 0
hakyll/jaspervdj/370 0
Idris-dev/idris-lang/2066 0
yesod/yesodweb/1061 0
Idris-dev/idris-lang/2908 0
Idris-dev/idris-lang/1220 0
Idris-dev/idris-lang/2065 0
Idris-dev/idris-lang/2907 0
wire-server/wireapp/340 0
Idris-dev/idris-lang/1219 0
yesod/yesodweb/1057 0
Idris-dev/idris-lang/3927 0
ghcjs/ghcjs/474 0
hakyll/jaspervdj/369 0
Idris-dev/idris-lang/1218 0
Idris-dev/idris-lang/3926 0
wire-server/wireapp/339 0
hakyll/jaspervdj/368 0
ghcjs/ghcjs/473 0
Idris-dev/idris-lang/3925 0
Idris-dev/idris-lang/2063 0
ghcjs/ghcjs/472 0
hakyll/jaspervdj/367 0
wire-server/wireapp/338 0
Idris-dev/idris-lang/2064 0
Idris-dev/idris-lang/2058 0
Idris-dev/idris-lang/1211 0
wire-server/wireapp/331 0
Idris-dev/idris-lang/2899 0
ghcjs/ghcjs/467 0
yesod/yesodweb/1054 0
Idris-dev/idris-lang/2052 0
yesod/yesodweb/513 0
Idris-dev/idris-lang/2898 0
Idris-dev/idris-lang/3919 0
Idris-dev/idris-lang/1202 0
wire-server/wireapp/326 0
Idris-dev/idris-lang/2897 0
yesod/yesodweb/512 0
yesod/yesodweb/1053 0
Idris-dev/idris-lang/2053 0
Idris-dev/idris-lang/3918 0
yesod/yesodweb/511 0
ghcjs/ghcjs/466 0
Idris-dev/idris-lang/2896 0
yesod/yesodweb/1052 0
Idris-dev/idris-lang/1201 0
wire-server/wireapp/324 0
ghcjs/ghcjs/465 0
Idris-dev/idris-lang/2050 0
Idris-dev/idris-lang/3917 0
yesod/yesodweb/1051 0
Idris-dev/idris-lang/1200 0
yesod/yesodweb/510 0
Idris-dev/idris-lang/2051 0
Idris-dev/idris-lang/2034 0
Idris-dev/idris-lang/1204 0
Idris-dev/idris-lang/1206 0
wire-server/wireapp/330 0
hakyll/jaspervdj/362 0
wire-server/wireapp/329 0
Idris-dev/idris-lang/1210 0
hakyll/jaspervdj/361 0
Idris-dev/idris-lang/3922 0
Idris-dev/idris-lang/1209 0
Idris-dev/idris-lang/2902 0
Idris-dev/idris-lang/2057 0
Idris-dev/idris-lang/3921 0
wire-server/wireapp/328 0
hakyll/jaspervdj/360 0
ghcjs/ghcjs/468 0
Idris-dev/idris-lang/2056 0
ghcjs/ghcjs/469 0
yesod/yesodweb/1056 0
wire-server/wireapp/327 0
Idris-dev/idris-lang/3920 0
Idris-dev/idris-lang/2900 0
yesod/yesodweb/515 0
Idris-dev/idris-lang/1208 0
yesod/yesodweb/1055 0
Idris-dev/idris-lang/2055 0
Idris-dev/idris-lang/1207 0
Idris-dev/idris-lang/2054 0
yesod/yesodweb/514 0
Idris-dev/idris-lang/2901 0
yesod/yesodweb/1037 0
Idris-dev/idris-lang/2848 0
wire-server/wireapp/295 0
wire-server/wireapp/248 0
yesod/yesodweb/1023 0
Idris-dev/idris-lang/1142 0
Idris-dev/idris-lang/2830 0
Idris-dev/idris-lang/3886 0
yesod/yesodweb/476 0
yesod/yesodweb/1022 0
wire-server/wireapp/245 0
Idris-dev/idris-lang/3885 0
Idris-dev/idris-lang/2007 0
Idris-dev/idris-lang/1141 0
stack/commercialhaskell/4333 0
yesod/yesodweb/1021 0
wire-server/wireapp/244 0
Idris-dev/idris-lang/1140 0
yesod/yesodweb/1020 0
Idris-dev/idris-lang/1139 0
yesod/yesodweb/475 0
Idris-dev/idris-lang/3884 0
stack/commercialhaskell/4331 0
Idris-dev/idris-lang/1138 0
wire-server/wireapp/243 0
Idris-dev/idris-lang/2829 0
Idris-dev/idris-lang/3883 0
stack/commercialhaskell/4330 0
stack/commercialhaskell/4334 0
Idris-dev/idris-lang/2831 0
yesod/yesodweb/477 0
Idris-dev/idris-lang/1143 0
yesod/yesodweb/1026 0
Idris-dev/idris-lang/2009 0
Idris-dev/idris-lang/2835 0
Idris-dev/idris-lang/3888 0
wire-server/wireapp/259 0
Idris-dev/idris-lang/1149 0
Idris-dev/idris-lang/2008 0
stack/commercialhaskell/4338 0
Idris-dev/idris-lang/1147 0
stack/commercialhaskell/4337 0
wire-server/wireapp/257 0
Idris-dev/idris-lang/2834 0
Idris-dev/idris-lang/1137 0
Idris-dev/idris-lang/1146 0
stack/commercialhaskell/4336 0
Idris-dev/idris-lang/2833 0
yesod/yesodweb/1025 0
Idris-dev/idris-lang/1145 0
Idris-dev/idris-lang/3887 0
yesod/yesodweb/479 0
wire-server/wireapp/253 0
Idris-dev/idris-lang/1144 0
stack/commercialhaskell/4335 0
wire-server/wireapp/249 0
yesod/yesodweb/1024 0
Idris-dev/idris-lang/2832 0
wire-server/wireapp/256 0
yesod/yesodweb/474 0
wire-server/wireapp/242 0
Idris-dev/idris-lang/2828 0
stack/commercialhaskell/4326 0
wire-server/wireapp/234 0
Idris-dev/idris-lang/1129 0
yesod/yesodweb/468 0
Idris-dev/idris-lang/3876 0
Idris-dev/idris-lang/2826 0
Idris-dev/idris-lang/2004 0
wire-server/wireapp/233 0
yesod/yesodweb/467 0
Idris-dev/idris-lang/1128 0
Idris-dev/idris-lang/3875 0
stack/commercialhaskell/4325 0
yesod/yesodweb/1017 0
Idris-dev/idris-lang/2003 0
wire-server/wireapp/231 0
yesod/yesodweb/466 0
Idris-dev/idris-lang/1127 0
stack/commercialhaskell/4324 0
Idris-dev/idris-lang/3873 0
wire-server/wireapp/229 0
Idris-dev/idris-lang/2824 0
Idris-dev/idris-lang/2002 0
yesod/yesodweb/465 0
Idris-dev/idris-lang/2001 0
Idris-dev/idris-lang/3870 0
Idris-dev/idris-lang/2823 0
Idris-dev/idris-lang/2825 0
wire-server/wireapp/262 0
yesod/yesodweb/469 0
Idris-dev/idris-lang/1130 0
Idris-dev/idris-lang/1136 0
wire-server/wireapp/241 0
stack/commercialhaskell/4329 0
Idris-dev/idris-lang/3882 0
Idris-dev/idris-lang/1135 0
Idris-dev/idris-lang/2827 0
Idris-dev/idris-lang/3881 0
stack/commercialhaskell/4328 0
Idris-dev/idris-lang/1134 0
wire-server/wireapp/239 0
yesod/yesodweb/473 0
Idris-dev/idris-lang/3880 0
wire-server/wireapp/235 0
yesod/yesodweb/1019 0
wire-server/wireapp/237 0
yesod/yesodweb/1018 0
Idris-dev/idris-lang/1132 0
wire-server/wireapp/236 0
stack/commercialhaskell/4327 0
yesod/yesodweb/471 0
Idris-dev/idris-lang/2006 0
Idris-dev/idris-lang/3878 0
Idris-dev/idris-lang/1131 0
yesod/yesodweb/470 0
Idris-dev/idris-lang/2005 0
Idris-dev/idris-lang/3877 0
yesod/yesodweb/472 0
wire-server/wireapp/64 0
Idris-dev/idris-lang/3889 0
wire-server/wireapp/264 0
stack/commercialhaskell/4347 0
yesod/yesodweb/1032 0
Idris-dev/idris-lang/1165 0
Idris-dev/idris-lang/3901 0
yesod/yesodweb/490 0
wire-server/wireapp/286 0
Idris-dev/idris-lang/1164 0
Idris-dev/idris-lang/2843 0
Idris-dev/idris-lang/2028 0
yesod/yesodweb/1031 0
yesod/yesodweb/489 0
stack/commercialhaskell/4346 0
Idris-dev/idris-lang/3900 0
Idris-dev/idris-lang/2842 0
